symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1101.TW,2021-11-26,42.73,42.78,42.28,42.28,40.600349,27222067,27222067,-0.45,-1.05,42.44,"November 26, 21",-0.0105
1101.TW,2021-11-25,43.09,43.14,42.78,42.87,41.167881,16206700,16206700,-0.22,-0.51056,42.93,"November 25, 21",-0.0051056
1101.TW,2021-11-24,43.37,43.41,43,43.14,41.429821,21568089,21568089,-0.23,-0.53032,43.18,"November 24, 21",-0.0053032
1101.TW,2021-11-23,43.55,43.59,43.41,43.46,41.735409,11334204,11334204,-0.09,-0.20666,43.49,"November 23, 21",-0.0020666
1101.TW,2021-11-22,43.64,43.82,43.5,43.55,41.822723,13649522,13649522,-0.09,-0.20623,43.62,"November 22, 21",-0.0020623
1101.TW,2021-11-19,43.91,44,43.64,43.91,42.171974,15556319,15556319,0,0,43.85,"November 19, 21",0
1101.TW,2021-11-18,44.05,44.09,43.87,43.91,42.171974,11929136,11929136,-0.14,-0.31782,43.96,"November 18, 21",-0.0031782
1101.TW,2021-11-17,44.14,44.18,43.87,44.14,42.390255,14277618,14277618,0,0,44.06,"November 17, 21",0
1101.TW,2021-11-16,44.14,44.41,43.96,44.23,42.47757,15375291,15375291,0.09,0.2039,44.2,"November 16, 21",0.002039
1101.TW,2021-11-15,44.28,44.32,43.91,44.18,42.433914,15427865,15427865,-0.1,-0.22584,44.14,"November 15, 21",-0.0022584
1101.TW,2021-11-12,44.28,44.37,43.91,44.28,42.521229,13359766,13359766,0,0,44.18,"November 12, 21",0
1101.TW,2021-11-11,44.32,44.5,44.14,44.37,42.608536,11699306,11699306,0.05,0.11282,44.34,"November 11, 21",0.0011282
1101.TW,2021-11-10,44.32,44.32,44,44.28,42.521229,9762737,9762737,-0.04,-0.09025271,44.2,"November 10, 21",-0.0009025271
1101.TW,2021-11-09,44.55,44.59,44,44.37,42.608536,9148392,9148392,-0.18,-0.40404,44.32,"November 09, 21",-0.0040404
1101.TW,2021-11-08,43.91,44.5,43.87,44.5,42.73951,12993317,12993317,0.59,1.34,44.29,"November 08, 21",0.0134
1101.TW,2021-11-05,43.68,43.78,43.5,43.78,42.041004,15485091,15485091,0.1,0.22894,43.68,"November 05, 21",0.0022894
1101.TW,2021-11-04,43.82,43.96,43.68,43.73,41.997353,7817757,7817757,-0.09,-0.20539,43.79,"November 04, 21",-0.0020539
1101.TW,2021-11-03,43.78,43.87,43.68,43.78,42.041004,7075200,7075200,0,0,43.78,"November 03, 21",0
1101.TW,2021-11-02,44,44.32,43.73,43.78,42.041004,10881205,10881205,-0.22,-0.5,43.94,"November 02, 21",-0.005
1101.TW,2021-11-01,43.87,43.87,43.73,43.87,42.128319,9347376,9347376,0,0,43.82,"November 01, 21",0
1101.TW,2021-10-29,44.09,44.09,43.82,43.87,42.128319,13774183,13774183,-0.22,-0.49898,43.93,"October 29, 21",-0.0049898
1101.TW,2021-10-28,43.96,44.28,43.87,44.09,42.3466,7267683,7267683,0.13,0.29572,44.08,"October 28, 21",0.0029572
1101.TW,2021-10-27,44.05,44.18,43.82,43.96,42.215633,10276871,10276871,-0.09,-0.20431,43.99,"October 27, 21",-0.0020431
1101.TW,2021-10-26,44.14,44.46,44.05,44.05,42.302948,15450701,15450701,-0.09,-0.2039,44.18,"October 26, 21",-0.002039
1101.TW,2021-10-25,44.18,44.23,43.68,43.87,42.128319,16042263,16042263,-0.31,-0.70167,43.93,"October 25, 21",-0.0070167
1101.TW,2021-10-22,44.32,44.55,44.18,44.37,42.608536,10461004,10461004,0.05,0.11282,44.37,"October 22, 21",0.0011282
